ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
252581;Alexandra;Daradur;KAZ;20050106
233723;Anna;Wise;RSA;20050104
236957;Lola;Radivojevic;SRB;20050102
238190;Shira Rachel;Sivan;ISR;20050102
239477;Rinon;Okuwaki;JPN;20041230
252530;Daniela;Cruzado Fretel;PER;20041230
254742;Malannia;Vashkevich;BLR;20041224
223198;Jasmine;Conway;GBR;20041221
232868;Aruzhan;Sagandikova;KAZ;20041221
221927;Maria Fernanda;Martinez Hernandez;MEX;20041220
245076;Anastasiya;Lopata;UKR;20041220
255648;Manuela;Ramirez Correa;COL;20041220
223344;Elisabeth;Iila;EST;20041219
223337;Petja;Drame;SLO;20041217
238200;Chen;Ezra;ISR;20041217
239386;Olivia;Lincer;USA;20041217
